,Neighborhoods,Latitude,Longitude
0,Abu Hail,25.2860287,55.328865
1,Al Awir First,25.185184200000002,55.5651697615552
2,Aleyas,25.2117884,55.536023378308464
3,Al Bada'a,25.2246261,55.2684831
4,Al Baraha,25.2810618,55.3194665
5,Al Barsha First,25.1117235,55.2064271
6,Al Barsha South First,25.0747157,55.2320479
7,Al Buteen,25.26305655,55.3205840389995
8,Al Corniche,25.6821827,51.5161526
9,Al Dhagaya,25.2726408,55.3002405
10,Al Fagaa,24.73669185,55.52916981396834
11,Al Garhoud,25.2407367,55.3520393
12,"Al Hamriya, Dubai",25.2599297,55.3031938
13,Al Hamriya Port,25.2995316,55.334959
14,Al Hathmah,33.990234,44.376331
15,Al Hudaiba,25.2428328,55.279212
16,Al Jaddaf,25.2218696,55.3359246
17,Al Jafiliya,25.2335944,55.2921844
18,Al Karama,25.2482298,55.3051575
19,Al Khabisi,25.2683331,55.3368902
20,Al Khawaneej First,25.23997265,55.50901189367384
21,Al Kifaf,25.2278867,55.2748092
22,Al Mamzar,25.30435345,55.36415771513055
23,Al Manara,33.195939,35.5446083
24,Al Mankhool,25.2495092,55.2954769
25,Al Merkad,25.169213,55.2924727
26,Al Mina,14.830359,42.913796
27,Al Mizhar First,25.2450842,55.4503154
28,Al Muraqqabat,25.2655388,55.3225135
29,Al Murar,25.276738799999997,55.310133021321576
30,Al Mushrif,14.185113,44.527841
31,Al Muteena,25.2741543,55.3225565
32,Al Nahda First,25.2732083,55.3694757
33,Al Nahda Second,30.992806549999997,29.842247366802518
34,"Al Nasr, Dubai",23.5896278,58.5623903
35,Al Quoz First,25.1500024,55.2336151
36,Al Quoz Industrial First,25.1183117,55.2122014
37,Al Qusais First,25.2627427,55.3872735
38,Al Qusais Industrial First,25.3260017,55.4331454
39,Al Qusais Industrial Third,25.3260017,55.4331454
40,Al Qusais Third,25.3260017,55.4331454
41,Al Raffa,25.2542057,55.2879667
42,Al Ras,32.2513936,35.0635981
43,Al Rashidiya,25.222025,55.3910064
44,Al Rigga,25.2672076,55.3102397
45,Al Sabkha,25.2692256,55.3024936
46,Al Safa First,15.6045861,32.5576281
47,Al Safa Second,29.3241965,30.8303163
48,Al Satwa,25.2208602,55.2737617
49,Al Shindagha,25.2661597,55.2888679
50,Al Souq Al Kabeer,25.2620458,55.2936315
51,Al Twar First,25.262628,55.3795909
52,Al Warqa'a First,25.2524862,51.4288428
53,Al Warqa'a Third,25.190661,55.4227553522109
54,Al Wasl,25.1959326,55.2557371
55,Al Waheda,25.2915387,55.3373622
56,Ayal Nasir,25.2743483,55.3041029
57,Business Bay,25.1830272,55.2729089
58,Bu Kadra,14.9058881,74.3470725
59,Downtown Dubai,25.18664775,55.274696143706294
60,Dubai Investment Park First,25.0052466,55.1556654
61,Dubai Investment Park Second,14.6770996,121.0265133
62,Emirates Hill First,24.3735859,54.5052353
63,Emirates Hill Second,25.3174709,55.413125314513344
64,Emirates Hill Third,25.310741649999997,55.42107915036722
65,Hatta,35.1486152,136.8532274
66,Hor Al Anz,25.2795484,55.3410529
67,Hor Al Anz East,25.2820822,55.34762334358837
68,Jebel Ali 1,24.9775987,55.0910742
69,Jebel Ali 2,24.9775987,55.0910742
70,Jebel Ali Industrial,25.0025696,55.12652395
71,Jebel Ali Palm,24.9848141,55.0057904
72,Jumeira First,25.231409,55.2627151
73,Palm Jumeira,25.1214019,55.1290981
74,Jumeira Second,25.3063769,55.3891306
75,Marsa Dubai,25.23031855,55.34747201289176
76,Mirdif,25.2211708,55.4224204
77,Muhaisnah First,25.2720137,55.4364278
78,Nadd Al Shiba Third,24.469246,54.3368655
79,Nad Shamma,25.2243775,55.3778774
80,Naif,25.2718646,55.3101539
81,Port Saeed,25.2493668,55.33261808739239
82,Arabian Ranches,25.050161699999997,55.26769380812486
83,Ras Al Khor,25.2023785,55.359249
84,Rigga Al Buteen,25.2595231,55.3195095
85,Trade Centre 1,32.55988935,-95.86352875
86,Trade Centre 2,32.5601426,-95.86307033455546
87,Umm Al Sheif,25.1319978,55.204668
88,Umm Hurair First,25.2422117,55.321784
89,Umm Ramool,25.2310318,55.3674888
90,Umm Suqeim First,25.1669443,55.214208
91,Warsan First,25.1631537,55.422077
92,Yaraah,14.424065,44.011175
93,Za'abeel First,47.4928447,11.9719486
94,Za'abeel Second,24.6609771,46.7984149
95,Margham,24.899518,55.6254536
96,Umm Nahad First,13.116667,29.616667
97,Saih Al-Dahal,24.7450428,55.36193205295207
98,Saih Al Salam,31.2475585,32.2853331867647
99,Al Lisaili,24.930673,55.4732537
100,Lehbab First,18.0097756,-15.977306
